0,Yuvraj Singh,"[0.07899500683333334, 0.07899500683333334]"
0,V Shankar,"[0.0, 0.0]"
0,CH Gayle,"[0.0745146058, 0.0745146058]"
0,Sachin Baby,"[0.010893246, 0.010893246]"
0,V Kohli,"[0.01699722033333333, 0.01699722033333333]"
0,Ankit Sharma,"[0.08828436175, 0.08828436175]"
0,DL Chahar,"[0.058477195499999995, 0.058477195499999995]"
0,SK Raina,"[0.089321064875, 0.089321064875]"
0,AJ Finch,"[0.06820657549999999, 0.06820657549999999]"
0,IK Pathan,"[0.09598961550000001, 0.09598961550000001]"
0,SB Jakati,"[0.028666632666666667, 0.028666632666666667]"
0,R Powell,"[0.084349202, 0.084349202]"
0,DM Bravo,"[0.010504201999999999, 0.010504201999999999]"
0,LMP Simmons,"[0.041786667666666666, 0.041786667666666666]"
0,Swapnil Singh,"[0.08741238050000001, 0.08741238050000001]"
1,A Nehra,"[0.36746137400000006, 0.36746137400000006]"
1,Rashid Khan,"[0.42861117049999997, 0.42861117049999997]"
1,S Badree,"[0.4321029395714286, 0.4321029395714286]"
1,YS Chahal,"[0.4145210333333333, 0.4145210333333333]"
1,SN Thakur,"[0.378469752, 0.378469752]"
1,A Zampa,"[0.36512947366666665, 0.36512947366666665]"
1,Imran Tahir,"[0.47610694150000005, 0.47610694150000005]"
1,SP Narine,"[0.4414155390000001, 0.4414155390000001]"
1,Kuldeep Yadav,"[0.37666872366666665, 0.37666872366666665]"
1,AS Rajpoot,"[0.36615166, 0.36615166]"
1,NM Coulter-Nile,"[0.3852174867142857, 0.3852174867142857]"
1,SL Malinga,"[0.43239424585714287, 0.43239424585714287]"
1,MG Johnson,"[0.3706614085, 0.3706614085]"
1,BW Hilfenhaus,"[0.42720144625, 0.42720144625]"
2,B Kumar,"[0.32982192299999996, 0.32982192299999996]"
2,Bipul Sharma,"[0.281217277, 0.281217277]"
2,Mustafizur Rahman,"[0.2791618476, 0.2791618476]"
2,CJ Jordan,"[0.30327463849999997, 0.30327463849999997]"
2,PV Tambe,"[0.3267305913333333, 0.3267305913333333]"
2,Mohammed Siraj,"[0.324720747, 0.324720747]"
2,AF Milne,"[0.3056957648, 0.3056957648]"
2,HV Patel,"[0.30251088, 0.30251088]"
