Batsman,Innings,Runs,Balls,Outs,Avg,SR,100s,50s,HS,Initial_Q,MakeItRelative,Remove_outliers,Semi_final_Q,Quantifier
AD Hales,12,397,276,11,36.1,143.8,1,1,116,0.130764163,29.05870297,29.05870297,129.058703,0.645293515
AJ Finch,13,390,291,12,32.5,134,0,3,71,0.111683849,24.81863307,24.81863307,114.2896658,0.571448329
V Kohli,7,385,287,3,128.3,134.1,0,5,77,0.447154472,99.36766034,99.36766034,228.4608593,1.142304297
Anamul Haque,10,285,235,7,40.7,121.3,0,1,58,0.17325228,38.50050659,38.50050659,80.03703052,0.400185153
LMP Simmons,14,274,258,12,22.8,106.2,0,1,69,0.088501292,19.66695378,19.66695378,60.37224345,0.301861217
CL White,9,271,206,5,54.2,131.6,0,2,75,0.263106796,58.46817691,58.46817691,118.9467663,0.594733832
RS Bopara,12,269,177,6,44.8,152,0,1,65,0.253295669,56.28792634,56.28792634,96.61538226,0.483076911
JP Duminy,9,257,218,5,51.4,117.9,0,1,86,0.235779817,52.39551478,52.39551478,91.81616969,0.459080848
EJG Morgan,12,249,186,12,20.8,133.9,0,2,71,0.11155914,24.79091995,24.79091995,83.60704086,0.418035204
GJ Maxwell,12,241,136,12,20.1,177.2,0,1,74,0.147671569,32.81590414,32.81590414,71.02749104,0.355137455
CH Gayle,8,240,217,7,34.3,110.6,0,1,53,0.157998683,35.11081852,35.11081852,73.24683867,0.366234193
Q de Kock,10,240,192,9,26.7,125,0,0,48,0.138888889,30.86419753,30.86419753,49.00021768,0.245001088
KS Williamson,8,234,195,7,33.4,120,0,1,51,0.171428571,38.0952381,38.0952381,75.77785774,0.378889289
JC Buttler,12,230,199,12,19.2,115.6,0,1,67,0.096314908,21.40331286,21.40331286,58.78366551,0.293918328
TLW Cooper,7,227,166,4,56.8,136.7,0,1,68,0.34186747,75.97054886,75.97054886,113.1242013,0.565621006
DR Smith,12,224,201,12,18.7,111.4,0,1,72,0.092868988,20.63755298,20.63755298,57.56450512,0.287822526
Shakib Al Hasan,9,224,166,7,32,134.9,0,1,66,0.192771084,42.83801874,42.83801874,79.76497088,0.398824854
BB McCullum,8,224,168,6,37.3,133.3,0,2,65,0.222222222,49.38271605,49.38271605,106.3096682,0.531548341
SJ Myburgh,7,224,145,7,32,154.5,0,3,63,0.220689655,49.04214559,49.04214559,125.9690977,0.629845489
MN Samuels,10,224,230,8,28,97.4,0,1,69,0.12173913,27.0531401,27.0531401,63.98009224,0.319900461
MDKJ Perera,9,220,155,9,24.4,141.9,0,2,64,0.157706093,35.04579849,35.04579849,91.67048363,0.458352418
RG Sharma,6,200,161,5,40,124.2,0,2,62,0.248447205,55.21048999,55.21048999,110.3238401,0.551619201
ADS Fletcher,5,196,163,5,39.2,120.2,0,2,62,0.240490798,53.44239945,53.44239945,108.2534826,0.541267413
HM Amla,7,191,153,7,27.3,124.8,0,1,56,0.178338002,39.63066708,39.63066708,74.06391645,0.370319582
DA Warner,6,184,127,5,36.8,144.9,0,1,53,0.28976378,64.39195101,64.39195101,98.29623312,0.491481166
LRPL Taylor,9,184,162,7,26.3,113.6,0,1,62,0.162257496,36.05722124,36.05722124,69.96150336,0.349807517
L Ronchi,7,182,119,5,36.4,152.9,0,1,51,0.305882353,67.97385621,67.97385621,101.7270048,0.508635024
Ahmed Shehzad,6,181,140,5,36.2,129.3,1,0,111,0.258571429,57.46031746,57.46031746,121.1378993,0.605689497
GJ Bailey,9,172,109,5,34.4,157.8,0,1,60,0.31559633,70.13251784,70.13251784,103.1299989,0.515649995
NLTC Perera,7,171,109,3,57,156.9,0,0,49,0.52293578,116.2079511,0,12.92191436,0.064609572
MJ Lumb,9,169,135,9,18.8,125.2,0,1,63,0.13909465,30.90992227,30.90992227,63.68070312,0.318403516
DJ Bravo,11,167,134,7,23.9,124.6,0,0,46,0.17803838,39.56408434,39.56408434,52.1837317,0.260918658
Umar Akmal,7,166,124,6,27.7,133.9,0,1,94,0.22311828,49.5818399,49.5818399,82.12592051,0.410629603
DJG Sammy,10,165,77,5,33,214.3,0,0,38,0.428571429,95.23809524,95.23809524,107.7066091,0.538533045
DPMD Jayawardene,5,158,124,4,39.5,127.4,0,1,89,0.318548387,70.78853047,70.78853047,102.7280771,0.513640385
TM Dilshan,9,149,141,7,21.3,105.7,0,1,55,0.150962513,33.54722504,33.54722504,64.80667088,0.324033354
W Barresi,7,143,115,6,23.8,124.3,0,0,48,0.207246377,46.0547504,46.0547504,56.86079574,0.284303979
EC Joyce,5,143,154,3,47.7,92.9,0,0,43,0.30952381,68.78306878,68.78306878,79.58911412,0.397945571
AB de Villiers,6,140,88,5,28,159.1,0,1,69,0.318181818,70.70707071,70.70707071,101.2864158,0.506432079
DA Miller,9,139,123,5,27.8,113,0,0,34,0.22601626,50.22583559,50.22583559,60.72961393,0.30364807
TT Bresnan,8,132,88,4,33,150,0,0,43,0.375,83.33333333,83.33333333,93.30814442,0.466540722
F du Plessis,5,127,81,4,31.8,156.8,0,1,58,0.391975309,87.10562414,87.10562414,116.7026015,0.583513007
Tamim Iqbal,10,126,135,9,14,93.3,0,0,30,0.103703704,23.04526749,23.04526749,32.56667807,0.16283339
