Batsman,Innings,Runs,Balls,Outs,Avg,SR,100s,50s,HS,Initial_Q,MakeItRelative,Remove_outliers,Semi_final_Q,Quantifier
BB McCullum,18,561,372,17,33,150.8,0,4,72,0.088709677,8.870967742,8.870967742,118.8709677,0.594354839
KP Pietersen,15,509,366,13,39.2,139.1,0,4,88,0.106977722,10.69777217,10.69777217,117.9170235,0.589585118
KA Pollard,19,476,302,15,31.7,157.6,0,1,70,0.105077263,10.50772627,10.50772627,55.96227172,0.279811359
AJ Finch,11,368,229,10,36.8,160.7,0,3,71,0.16069869,16.069869,16.069869,95.74901338,0.478745067
DR Smith,14,364,306,13,28,119,0,2,72,0.091503268,9.150326797,9.150326797,68.61556744,0.343077837
Kamran Akmal,11,353,273,11,32.1,129.3,1,2,104,0.117549118,11.75491175,11.75491175,120.6319171,0.603159586
SR Watson,18,336,253,16,21,132.8,0,1,55,0.083003953,8.300395257,8.300395257,46.2683097,0.231341548
CH Gayle,13,298,233,13,22.9,127.9,0,1,77,0.098382304,9.838230439,9.838230439,45.77405932,0.228870297
MC Henriques,11,296,223,9,32.9,132.7,0,3,64,0.147483807,14.74838067,14.74838067,90.57725767,0.452886288
Babar Azam,10,291,258,8,36.4,112.8,0,1,50,0.140988372,14.09883721,14.09883721,49.66033454,0.248301673
SW Billings,11,276,204,9,30.7,135.3,0,2,78,0.150326797,15.03267974,15.03267974,69.79203803,0.34896019
BJ Haddin,15,261,194,14,18.6,134.5,0,1,73,0.096097202,9.609720177,9.609720177,43.56693943,0.217834697
RR Rossouw,8,256,206,6,42.7,124.3,0,2,77,0.207119741,20.71197411,20.71197411,74.40181368,0.372009068
N Rana,6,255,179,5,51,142.5,0,3,62,0.284916201,28.49162011,28.49162011,102.1279837,0.510639919
EJG Morgan,10,250,229,8,31.2,109.2,0,2,80,0.136462882,13.64628821,13.64628821,67.01527217,0.335076361
MK Pandey,5,245,167,2,122.5,146.7,0,2,81,0.733532934,73.35329341,73.35329341,126.4548977,0.632274488
SP Narine,17,243,143,14,17.4,169.9,0,0,42,0.121378621,12.13786214,12.13786214,25.13251454,0.125662573
KC Sangakkara,12,243,207,11,22.1,117.4,0,1,65,0.106719368,10.67193676,10.67193676,43.66658917,0.218332946
SK Raina,6,243,163,4,60.8,149.1,0,2,84,0.372699387,37.26993865,37.26993865,90.26459106,0.451322955
BR Dunk,5,242,156,4,60.5,155.1,0,2,79,0.387820513,38.78205128,38.78205128,91.72322775,0.458616139
Ahmed Shehzad,9,242,183,9,26.9,132.2,0,3,71,0.146933819,14.69338191,14.69338191,87.63455838,0.438172792
M Klinger,7,241,187,6,40.2,128.9,0,2,79,0.214795009,21.47950089,21.47950089,74.36720143,0.371836007
JJ Roy,9,239,160,7,34.1,149.4,0,2,60,0.213392857,21.33928571,21.33928571,74.12003438,0.370600172
DA Warner,6,239,176,4,59.8,135.8,0,2,76,0.339488636,33.94886364,33.94886364,86.7296123,0.433648061
CA Lynn,4,236,119,2,118,198.3,0,2,98,0.991596639,99.15966387,99.15966387,151.7799847,0.758899924
HM Amla,6,234,164,4,58.5,142.7,1,1,104,0.356707317,35.67073171,35.67073171,118.1841007,0.590920503
G Gambhir,6,234,166,4,58.5,141,0,2,77,0.352409639,35.24096386,35.24096386,87.75433284,0.438771664
DP Hughes,6,234,190,6,39,123.2,0,1,85,0.205263158,20.52631579,20.52631579,53.03968477,0.265198424
LJ Wright,9,226,191,8,28.2,118.3,0,2,62,0.147905759,14.79057592,14.79057592,66.87613741,0.334380687
GJ Maxwell,9,221,129,7,31.6,171.3,0,0,44,0.244739756,24.47397564,24.47397564,36.29215745,0.181460787
SV Samson,5,215,151,5,43,142.4,1,0,102,0.284768212,28.47682119,28.47682119,89.9741474,0.449870737
S Dhawan,6,205,169,6,34.2,121.3,0,1,70,0.202169625,20.21696252,20.21696252,51.17952937,0.255897647
Shoaib Malik,10,202,166,9,22.4,121.7,0,1,51,0.135207497,13.52074967,13.52074967,44.3228887,0.221614444
SE Marsh,7,191,154,6,31.8,124,0,2,57,0.206709957,20.67099567,20.67099567,70.88489941,0.354424497
CL White,6,189,138,5,37.8,137,0,1,64,0.273913043,27.39130435,27.39130435,57.49825622,0.287491281
JC Buttler,6,185,118,6,30.8,156.8,0,1,77,0.261299435,26.1299435,26.1299435,56.02299163,0.280114958
Sarfraz Ahmed,9,183,138,7,26.1,132.6,0,1,56,0.189440994,18.94409938,18.94409938,48.73019564,0.243650978
SPD Smith,4,180,133,3,60,135.3,0,1,84,0.45112782,45.11278195,45.11278195,74.7384504,0.373692252
Shahid Afridi,8,177,102,7,25.3,173.5,0,1,54,0.24789916,24.78991597,24.78991597,54.25515661,0.271275783
Fakhar Zaman,8,177,127,7,25.3,139.4,0,1,56,0.199100112,19.91001125,19.91001125,49.37525189,0.246876259
MS Harris,5,176,126,5,35.2,139.7,0,1,85,0.279365079,27.93650794,27.93650794,57.34827264,0.286741363
DJ Malan,6,175,126,6,29.2,138.9,0,1,56,0.231481481,23.14814815,23.14814815,52.50643692,0.262532185
RV Uthappa,5,174,108,5,34.8,161.1,0,2,72,0.322222222,32.22222222,32.22222222,81.52703506,0.407635175
M Vohra,5,174,105,5,34.8,165.7,0,1,95,0.331428571,33.14285714,33.14285714,62.44766998,0.31223835
JA Burns,5,171,123,3,57,139,0,1,51,0.463414634,46.34146341,46.34146341,75.48584844,0.377429242
BJ Hodge,5,167,138,5,33.4,121,0,1,55,0.242028986,24.20289855,24.20289855,53.13337983,0.265666899
KM Jadhav,6,166,101,5,33.2,164.4,0,1,69,0.328712871,32.87128713,32.87128713,61.74829248,0.308741462
Umar Akmal,8,164,132,8,20.5,124.2,0,1,66,0.15530303,15.53030303,15.53030303,44.30035651,0.221501783
Misbah-ul-Haq,8,158,141,7,22.6,112.1,0,1,61,0.160081054,16.00810537,16.00810537,44.45730323,0.222286516
TLW Cooper,6,156,95,5,31.2,164.2,0,1,53,0.328421053,32.84210526,32.84210526,61.18435125,0.305921756
BR McDermott,3,155,83,3,51.7,186.7,1,0,114,0.62248996,62.24899598,62.24899598,120.537766,0.60268883
V Kohli,3,154,116,3,51.3,132.8,0,2,64,0.442528736,44.25287356,44.25287356,92.48816768,0.462440838
Mohammad Hafeez,9,153,154,9,17,99.4,0,1,77,0.11038961,11.03896104,11.03896104,39.22077922,0.196103896
RJ Quiney,6,152,91,6,25.3,167,0,1,51,0.278388278,27.83882784,27.83882784,55.96717008,0.27983585
Asad Shafiq,6,147,135,6,24.5,108.9,0,1,51,0.181481481,18.14814815,18.14814815,46.00911071,0.230045554
GJ Bailey,5,146,118,3,48.7,123.7,0,2,69,0.412429379,41.24293785,41.24293785,89.05042448,0.445252122
RR Pant,5,141,84,5,28.2,167.9,0,1,57,0.335714286,33.57142857,33.57142857,61.11153552,0.305557678
AB de Villiers,3,137,97,2,68.5,141.2,0,1,89,0.706185567,70.6185567,70.6185567,97.94475991,0.4897238
DJ Hussey,7,136,96,7,19.4,141.7,0,0,29,0.202380952,20.23809524,20.23809524,27.51082251,0.137554113
KD Karthik,6,132,94,5,26.4,140.4,0,0,48,0.280851064,28.08510638,28.08510638,35.14392991,0.17571965
Mohammad Rizwan,7,130,106,5,26,122.6,0,0,46,0.245283019,24.52830189,24.52830189,31.48017354,0.157400868
KR Patterson,5,129,100,4,32.2,129,0,0,38,0.3225,32.25,32.25,39.14839572,0.195741979
PA Patel,6,128,93,6,21.3,137.6,0,0,39,0.229390681,22.9390681,22.9390681,29.78398789,0.148919939
IR Bell,6,127,103,4,31.8,123.3,0,0,45,0.308252427,30.82524272,30.82524272,37.61668657,0.188083433
AI Ross,5,124,137,4,31,90.5,0,0,46,0.226277372,22.62773723,22.62773723,29.25875327,0.146293766
BCJ Cutting,7,122,68,6,20.3,179.4,0,0,35,0.299019608,29.90196078,29.90196078,36.42602496,0.182130125
DJG Sammy,9,120,92,5,24,130.4,0,0,34,0.260869565,26.08695652,26.08695652,32.50406882,0.162520344
RS Bopara,10,119,123,8,14.9,96.7,0,0,33,0.120934959,12.09349593,12.09349593,18.4571323,0.092285661
AM Rahane,5,119,86,5,23.8,138.4,0,1,60,0.276744186,27.6744186,27.6744186,54.03805497,0.270190275
DJM Short,5,118,77,5,23.6,153.2,0,1,60,0.306493506,30.64935065,30.64935065,56.95951108,0.284797555
CJ Ferguson,5,117,69,4,29.2,169.6,0,0,39,0.423913043,42.39130435,42.39130435,48.64798884,0.243239944
