Batsman,Innings,Runs,Balls,Outs,Avg,SR,100s,50s,HS,Initial_Q,MakeItRelative,Remove_outliers,Semi_final_Q,Quantifier
DAS Gunaratne,8,181,124,4,45.2,146,0,2,84,0.364919355,55.29081134,55.29081134,125.2908113,0.626454057
N Dickwella,5,177,118,5,35.4,150,0,1,68,0.3,45.45454545,45.45454545,94.79156203,0.47395781
KS Williamson,4,160,138,3,53.3,115.9,0,2,73,0.38647343,58.5565803,58.5565803,125.0759173,0.625379587
Soumya Sarkar,5,144,92,5,28.8,156.5,0,0,42,0.313043478,47.43083004,47.43083004,71.29823335,0.356491167
M Klinger,3,143,111,2,71.5,128.8,0,1,62,0.644144144,97.5975976,97.5975976,141.2992551,0.706496275
Babar Azam,4,138,131,4,34.5,105.3,0,0,43,0.263358779,39.90284525,39.90284525,62.77577342,0.313878867
JE Root,3,127,120,2,63.5,105.8,0,0,47,0.529166667,80.17676768,80.17676768,101.2264914,0.506132457
Mahmudullah,5,124,107,4,31,115.9,0,1,52,0.289719626,43.89691306,43.89691306,84.44939924,0.422246996
Mohammad Nabi,3,124,47,2,62,263.8,0,1,89,1.319148936,199.8710509,0,40.55248619,0.202762431
Mohammad Shahzad,3,123,88,2,61.5,139.8,0,1,72,0.698863636,105.8884298,0,40.38674033,0.201933702
Najeeb Tarakai,3,120,78,3,40,153.8,0,1,90,0.512820513,77.7000777,77.7000777,117.5895805,0.587947902
Sabbir Rahman,5,117,94,4,29.2,124.5,0,0,48,0.311170213,47.14700193,47.14700193,66.53926713,0.332696336
CJ Anderson,4,117,68,3,39,172.1,0,1,94,0.573529412,86.89839572,86.89839572,126.2906609,0.631453305
E Lewis,4,111,74,2,55.5,150,0,1,91,0.75,113.6363636,0,38.39779006,0.19198895
S Prasanna,8,111,73,5,22.2,152.1,0,0,37,0.304109589,46.07721046,46.07721046,64.47500052,0.322375003
EJG Morgan,3,108,82,3,36,131.7,0,1,51,0.43902439,66.51884701,66.51884701,104.4193995,0.522096997
AJ Finch,3,108,76,3,36,142.1,0,1,53,0.473684211,71.77033493,71.77033493,109.6708874,0.548354437
Shakib Al Hasan,5,105,96,5,21,109.4,0,0,41,0.21875,33.14393939,33.14393939,50.54725431,0.252736272
SK Raina,3,104,78,3,34.7,133.3,0,1,63,0.444444444,67.34006734,67.34006734,104.5776364,0.522888182
SR Thompson,3,104,60,3,34.7,173.3,0,1,56,0.577777778,87.54208754,87.54208754,124.7796566,0.623898283
TC Bruce,4,104,79,2,52,131.6,0,1,59,0.658227848,99.73149214,99.73149214,136.9690612,0.684845306
EMDY Munaweera,5,103,67,5,20.6,153.7,0,0,44,0.307462687,46.58525554,46.58525554,63.65707874,0.318285394
KL Rahul,3,101,74,3,33.7,136.5,0,1,71,0.454954955,68.93256893,68.93256893,105.6729004,0.528364502
C Munro,4,101,60,4,25.2,168.3,1,0,101,0.420833333,63.76262626,63.76262626,130.5029578,0.652514789
GC Wilson,3,101,63,2,50.5,160.3,0,1,59,0.801587302,121.4526215,0,36.74033149,0.183701657
CK Kapugedera,4,99,80,3,33,123.8,0,1,50,0.4125,62.5,62.5,98.90883978,0.494544199
MS Dhoni,3,97,70,2,48.5,138.6,0,1,56,0.692857143,104.978355,0,36.07734807,0.18038674
MN Samuels,4,91,89,4,22.8,102.2,0,0,44,0.255617978,38.7299966,38.7299966,53.81286952,0.269064348
Kamran Akmal,4,90,80,4,22.5,112.5,0,0,48,0.28125,42.61363636,42.61363636,57.53076344,0.287653817
AB de Villiers,2,89,61,2,44.5,145.9,0,1,63,0.729508197,110.531545,0,34.75138122,0.173756906
CR Brathwaite,3,86,74,1,86,116.2,0,0,37,1.162162162,176.0851761,0,14.25414365,0.071270718
Samiullah Shenwari,3,86,62,3,28.7,138.7,0,1,56,0.462365591,70.05539264,70.05539264,104.3095363,0.521547681
WU Tharanga,6,85,73,6,14.2,116.4,0,0,24,0.194063927,29.40362529,29.40362529,43.49202308,0.217460115
Mosaddek Hossain,5,84,72,4,21,116.7,0,0,34,0.291666667,44.19191919,44.19191919,58.11457113,0.290572856
Ahmed Shehzad,4,84,75,4,21,112,0,1,53,0.28,42.42424242,42.42424242,76.34689436,0.381734472
PR Stirling,3,83,36,3,27.7,230.6,0,0,49,0.768518519,116.4421998,0,13.75690608,0.06878453
MDKJ Perera,2,81,55,2,40.5,147.3,0,1,77,0.736363636,111.5702479,0,33.42541436,0.167127072
CAK Walton,4,80,78,4,20,102.6,0,0,40,0.256410256,38.85003885,38.85003885,52.10970736,0.260548537
WTS Porterfield,3,77,59,2,38.5,130.5,0,0,39,0.652542373,98.8700565,98.8700565,111.6324874,0.558162437
Shoaib Malik,4,77,64,2,38.5,120.3,0,0,38,0.6015625,91.14583333,91.14583333,103.9082643,0.519541321
MC Henriques,3,75,50,1,75,150,0,1,56,1.5,227.2727273,0,32.43093923,0.162154696
F Behardien,4,72,53,2,36,135.8,0,0,31,0.679245283,102.915952,0,11.93370166,0.059668508
TM Head,3,65,45,3,21.7,144.4,0,0,31,0.481481481,72.95173962,72.95173962,83.72522028,0.418626101
C de Grandhomme,4,62,33,2,31,187.9,0,0,41,0.939393939,142.3324151,0,10.27624309,0.051381215
HM Amla,1,62,43,1,62,144.2,0,1,62,1.441860465,218.4637068,0,30.27624309,0.151381215
JJ Roy,3,61,45,3,20.3,135.6,0,0,32,0.451851852,68.4624018,68.4624018,78.57289903,0.392864495
AD Mathews,2,60,58,1,60,103.4,0,1,54,1.034482759,156.7398119,0,29.94475138,0.149723757
BR Dunk,2,60,35,2,30,171.4,0,0,32,0.857142857,129.8701299,0,9.944751381,0.049723757
V Kohli,3,53,44,3,17.7,120.5,0,0,30,0.401515152,60.83562902,60.83562902,69.6201594,0.348100797
DA Miller,3,53,35,3,17.7,151.4,0,0,41,0.504761905,76.47907648,76.47907648,85.26360687,0.426318034
TAM Siriwardana,4,50,40,4,12.5,125,0,0,35,0.3125,47.34848485,47.34848485,55.63577767,0.278178888
M Mosehle,3,49,26,1,49,188.5,0,0,32,1.884615385,285.5477855,0,8.121546961,0.040607735
Tamim Iqbal,4,48,37,3,16,129.7,0,0,24,0.432432432,65.52006552,65.52006552,73.47586663,0.367379333
DM de Silva,3,48,49,3,16,98,0,0,27,0.326530612,49.47433519,49.47433519,57.43013629,0.287150681
BA Stokes,3,46,38,2,23,121.1,0,0,38,0.605263158,91.70653907,91.70653907,99.33084847,0.496654242
Yuvraj Singh,3,43,35,3,14.3,122.9,0,0,27,0.40952381,62.04906205,62.04906205,69.17613387,0.345880669
RR Hendricks,1,41,34,1,41,120.6,0,0,41,1.205882353,182.7094474,0,6.79558011,0.033977901
L Tucker,3,41,31,2,20.5,132.3,0,0,16,0.661290323,100.1955034,0,6.79558011,0.033977901
JO Holder,3,40,33,2,20,121.2,0,0,26,0.606060606,91.82736455,91.82736455,98.45719881,0.492285994
HG Kuhn,2,39,26,2,19.5,150,0,0,29,0.75,113.6363636,0,6.464088398,0.032320442
F du Plessis,1,36,25,1,36,144,0,0,36,1.44,218.1818182,0,5.966850829,0.029834254
Asghar Stanikzai,3,36,24,2,18,150,0,0,20,0.75,113.6363636,0,5.966850829,0.029834254
JT Smuts,3,36,30,3,12,120,0,0,19,0.4,60.60606061,60.60606061,66.57291143,0.332864557
Imrul Kayes,3,36,30,2,18,120,0,0,36,0.6,90.90909091,90.90909091,96.87594174,0.484379709
SW Billings,3,34,20,3,11.3,170,0,0,22,0.566666667,85.85858586,85.85858586,91.49394497,0.457469725
MK Pandey,2,33,31,2,16.5,106.5,0,0,30,0.532258065,80.64516129,80.64516129,86.11477455,0.430573873
LD Chandimal,3,33,38,2,16.5,86.8,0,0,22,0.434210526,65.78947368,65.78947368,71.25908694,0.356295435
NLTC Perera,2,31,24,1,31,129.2,0,0,27,1.291666667,195.7070707,0,5.138121547,0.025690608
JP Duminy,1,29,16,1,-,181.2,0,0,29,1.8125,274.6212121,0,4.806629834,0.024033149
AJ Turner,3,27,20,3,9,135,0,0,19,0.45,68.18181818,68.18181818,72.6569563,0.363284782
Fakhar Zaman,2,26,29,1,26,89.7,0,0,21,0.896551724,135.8411703,0,4.309392265,0.021546961
TB de Bruyn,2,26,16,2,13,162.5,0,0,19,0.8125,123.1060606,0,4.309392265,0.021546961
BKG Mendis,5,26,24,4,6.5,108.3,0,0,14,0.270833333,41.03535354,41.03535354,45.3447458,0.226723729
Karim Janat,2,26,17,1,26,152.9,0,0,20,1.529411765,231.7290553,0,4.309392265,0.021546961
Wahab Riaz,2,25,12,2,12.5,208.3,0,0,24,1.041666667,157.8282828,0,4.143646409,0.020718232
Nurul Hasan,3,24,20,1,24,120,0,0,10,1.2,181.8181818,0,3.977900552,0.019889503
Usman Ghani,1,23,20,1,23,115,0,0,23,1.15,174.2424242,0,3.812154696,0.019060773
Mushfiqur Rahim,2,23,15,2,11.5,153.3,0,0,15,0.766666667,116.1616162,0,3.812154696,0.019060773
HH Pandya,3,22,19,3,7.3,115.8,0,0,11,0.385964912,58.47953216,58.47953216,62.125941,0.310629705
Sarfraz Ahmed,4,22,29,1,22,75.9,0,0,12,0.75862069,114.9425287,0,3.64640884,0.018232044
KMDN Kulasekara,4,22,21,1,22,104.8,0,0,12,1.047619048,158.7301587,0,3.64640884,0.018232044
KA Pollard,3,20,36,3,6.7,55.6,0,0,14,0.185185185,28.05836139,28.05836139,31.37327852,0.156866393
TG Southee,1,20,6,1,20,333.3,0,0,20,3.333333333,505.0505051,0,3.314917127,0.016574586
KJ O'Brien,3,20,27,3,6.7,74.1,0,0,11,0.24691358,37.41114852,37.41114852,40.72606565,0.203630328
JDS Neesham,2,20,17,2,10,117.6,0,0,15,0.588235294,89.12655971,89.12655971,92.44147684,0.462207384
SP Narine,3,19,21,2,9.5,90.5,0,0,9,0.452380952,68.54256854,68.54256854,71.69173981,0.358458699
JN Mohammed,2,18,25,1,18,72,0,0,17,0.72,109.0909091,0,2.983425414,0.014917127
JP Faulkner,3,17,11,2,8.5,154.5,0,0,14,0.772727273,117.0798898,0,2.817679558,0.014088398
Shadab Khan,2,16,12,1,-,133.3,0,0,13,1.333333333,202.020202,0,2.651933702,0.013259669
JC Buttler,2,15,12,2,7.5,125,0,0,15,0.625,94.6969697,94.6969697,97.18315754,0.485915788
AR McBrine,2,14,10,2,7,140,0,0,13,0.7,106.0606061,0,2.320441989,0.01160221
AM Phangiso,1,13,19,1,13,68.4,0,0,13,0.684210526,103.6682616,0,2.154696133,0.010773481
Mashrafe Mortaza,4,11,11,3,3.7,100,0,0,9,0.333333333,50.50505051,50.50505051,52.32825492,0.261641275
JRMVB Sanjaya,2,11,6,1,11,183.3,0,0,6,1.833333333,277.7777778,0,1.82320442,0.009116022
WD Parnell,3,10,11,1,10,90.9,0,0,4,0.909090909,137.7410468,0,1.657458564,0.008287293
MJ Santner,2,9,10,1,9,90,0,0,5,0.9,136.3636364,0,1.491712707,0.007458564
CH Morris,1,9,7,1,-,128.6,0,0,9,1.285714286,194.8051948,0,1.491712707,0.007458564
Najibullah Zadran,2,8,7,1,8,114.3,0,0,7,1.142857143,173.1601732,0,1.325966851,0.006629834
TD Paine,2,8,6,1,8,133.3,0,0,7,1.333333333,202.020202,0,1.325966851,0.006629834
GH Dockrell,2,7,5,1,7,140,0,0,5,1.4,212.1212121,0,1.160220994,0.005801105
LMP Simmons,4,7,10,2,3.5,70,0,0,4,0.35,53.03030303,53.03030303,54.19052402,0.27095262
BM Wheeler,1,6,6,1,6,100,0,0,6,1,151.5151515,0,0.994475138,0.004972376
Shafiqullah,2,6,2,1,6,300,0,0,6,3,454.5454545,0,0.994475138,0.004972376
RR Pant,1,6,3,1,-,200,0,0,6,2,303.030303,0,0.994475138,0.004972376
Mohammad Saifuddin,1,6,5,1,-,120,0,0,6,1.2,181.8181818,0,0.994475138,0.004972376
Sohail Tanvir,2,6,6,1,6,100,0,0,4,1,151.5151515,0,0.994475138,0.004972376
NT Broom,1,6,7,1,6,85.7,0,0,6,0.857142857,129.8701299,0,0.994475138,0.004972376
R Powell,2,5,6,2,2.5,83.3,0,0,5,0.416666667,63.13131313,63.13131313,63.96004241,0.319800212
Mohammad Hafeez,1,5,12,1,5,41.7,0,0,5,0.416666667,63.13131313,63.13131313,63.96004241,0.319800212
