Bowler,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,Initial_Q,MakeItRelative,Remove_outliers,Semi_final_Q,Quantifier
JJ Bumrah,21,79.4,527,29,6.6,18.2,16.5,0,11-Mar,0.055028463,5.732131562,5.732131562,55.73213156,0.327836068
R Ashwin,17,59.2,372,23,6.3,16.2,15.5,0,8-Apr,0.061827957,6.440412186,6.440412186,46.0955846,0.271150498
Al-Amin Hossain,13,41.5,334,22,8,15.2,11.4,0,25-Mar,0.065868263,6.861277445,6.861277445,44.79231193,0.263484188
Shakib Al Hasan,15,55.1,409,19,7.4,21.5,17.4,0,15-Apr,0.046454768,4.839038305,4.839038305,37.59765899,0.2211627
A Nehra,15,53,372,18,7,20.7,17.7,0,23-Mar,0.048387097,5.040322581,5.040322581,36.07480534,0.212204737
Mohammad Nabi,12,44.5,297,18,6.6,16.5,14.9,0,17-Apr,0.060606061,6.313131313,6.313131313,37.34761407,0.219691847
Amjad Javed,10,35,257,18,7.3,14.3,11.7,0,25-Mar,0.070038911,7.295719844,7.295719844,38.3302026,0.22547178
RA Jadeja,17,59,413,17,7,24.3,20.8,0,11-Feb,0.041162228,4.287732042,4.287732042,33.59807687,0.197635746
Rashid Khan,12,47,304,17,6.5,17.9,16.6,0,11-Mar,0.055921053,5.825109649,5.825109649,35.13545448,0.206679144
Mohammad Naveed,11,43.4,230,17,5.3,13.5,15.4,0,14-Mar,0.073913043,7.699275362,7.699275362,37.00962019,0.217703648
HH Pandya,16,44.3,360,16,8.1,22.5,16.7,0,8-Mar,0.044444444,4.62962963,4.62962963,32.21583653,0.189504921
Mustafizur Rahman,8,31.5,195,16,6.1,12.2,11.9,1,22-May,0.082051282,8.547008547,8.547008547,46.13321544,0.271371856
Imran Tahir,9,36,235,16,6.5,14.7,13.5,0,21-Apr,0.068085106,7.092198582,7.092198582,34.67840548,0.20399062
MJ Santner,9,30.1,188,15,6.2,12.5,12.1,0,11-Apr,0.079787234,8.311170213,8.311170213,34.17323918,0.201019054
AF Milne,8,26.2,201,13,7.6,15.5,12.2,0,Apr-37,0.064676617,6.737147595,6.737147595,29.1509407,0.171476122
K Rabada,8,31.2,271,13,8.6,20.8,14.5,0,25-Feb,0.04797048,4.996924969,4.996924969,27.41071807,0.161239518
KJ Abbott,7,26.3,212,13,8,16.3,12.2,0,26-Mar,0.061320755,6.387578616,6.387578616,28.80137172,0.169419834
JP Faulkner,8,28.1,255,13,9.1,19.6,13,1,28-May,0.050980392,5.310457516,5.310457516,37.72425062,0.221907357
GD Elliott,9,25,158,12,6.3,13.2,12.5,0,22-Apr,0.075949367,7.911392405,7.911392405,28.60104758,0.168241456
CJ Jordan,9,33.4,288,12,8.6,24,16.8,0,28-Apr,0.041666667,4.340277778,4.340277778,25.02993295,0.1472349
Nadeem Ahmed,8,28,179,11,6.4,16.3,15.3,0,23-Mar,0.061452514,6.401303538,6.401303538,25.36682078,0.149216593
Mohammad Amir,11,42,300,11,7.1,27.3,22.9,0,18-Mar,0.036666667,3.819444444,3.819444444,22.78496169,0.134029186
DJ Bravo,7,28,227,11,8.1,20.6,15.3,0,Mar-37,0.04845815,5.047723935,5.047723935,24.01324118,0.14125436
MRJ Watt,7,24.5,162,11,6.5,14.7,13.5,1,27-May,0.067901235,7.073045267,7.073045267,36.03856251,0.211991544
IS Sodhi,6,23.4,153,11,6.5,13.9,12.9,0,18-Mar,0.071895425,7.489106754,7.489106754,26.454624,0.155615435
Rohan Mustafa,11,32.5,240,11,7.3,21.8,17.9,0,19-Apr,0.045833333,4.774305556,4.774305556,23.7398228,0.139646016
AG Cremer,9,33,249,11,7.5,22.6,18,0,17-Mar,0.044176707,4.601740295,4.601740295,23.56725754,0.138630927
GH Dockrell,6,17,105,10,6.2,10.5,10.2,0,7-Mar,0.095238095,9.920634921,9.920634921,27.16201423,0.159776554
KMDN Kulasekara,7,25,181,10,7.2,18.1,15,0,10-Mar,0.055248619,5.755064457,5.755064457,22.99644377,0.135273199
DT Tiripano,8,28.4,218,10,7.6,21.8,17.2,0,20-Mar,0.04587156,4.778287462,4.778287462,22.01966677,0.129527452
SM Sharif,6,20.2,137,10,6.7,13.7,12.2,0,24-Apr,0.072992701,7.603406326,7.603406326,24.84478564,0.146145798
Aizaz Khan,8,26.3,217,10,8.2,21.7,15.9,0,Apr-32,0.046082949,4.80030722,4.80030722,22.04168653,0.12965698
AD Russell,8,29,249,10,8.6,24.9,17.4,0,23-Feb,0.040160643,4.183400268,4.183400268,21.42477958,0.126028115
Mashrafe Mortaza,15,49,370,10,7.6,37,29.4,0,12-Feb,0.027027027,2.815315315,2.815315315,20.05669463,0.117980557
