Bowler,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,Initial_Q,MakeItRelative,Remove_outliers,Semi_final_Q,Quantifier
Dawlat Zadran,10,36.1,295,10,8.2,29.5,21.7,0,Mar-32,0.033898305,3.531073446,3.531073446,20.77245276,0.122190899
DJ Willey,7,23,174,10,7.6,17.4,13.8,0,20-Mar,0.057471264,5.986590038,5.986590038,23.22796935,0.136635114
S Badree,8,26,156,9,6,17.3,17.3,0,12-Mar,0.057692308,6.009615385,6.009615385,21.52685676,0.126628569
MC Sorensen,6,16.5,111,9,6.6,12.3,11.2,0,17-Mar,0.081081081,8.445945946,8.445945946,23.96318733,0.140959925
SR Watson,8,27,196,9,7.3,21.8,18,0,23-Feb,0.045918367,4.783163265,4.783163265,20.30040464,0.119414145
Shahid Afridi,10,40,278,9,7,30.9,26.7,0,26-Feb,0.032374101,3.372302158,3.372302158,18.88954354,0.111114962
CH Morris,7,26,237,9,9.1,26.3,17.3,0,27-Apr,0.037974684,3.955696203,3.955696203,19.47293758,0.114546692
KJ O'Brien,6,17,105,8,6.2,13.1,12.8,0,14-Mar,0.076190476,7.936507937,7.936507937,21.72961138,0.127821243
Mohammad Shahzad,11,31,232,8,7.5,29,23.2,0,9-Feb,0.034482759,3.591954023,3.591954023,17.38505747,0.102265044
Amir Hamza,8,28.2,202,8,7.1,25.2,21.2,0,15-Feb,0.03960396,4.125412541,4.125412541,17.91851599,0.105403035
AR McBrine,6,14,92,8,6.6,11.5,10.5,0,7-Feb,0.086956522,9.057971014,9.057971014,22.85107446,0.134418085
PVD Chameera,11,39.1,289,8,7.4,36.1,29.4,0,30-Mar,0.027681661,2.883506344,2.883506344,16.67660979,0.098097705
Taskin Ahmed,9,30.4,189,8,6.2,23.6,23,0,26-Feb,0.042328042,4.409171076,4.409171076,18.20227452,0.107072203
NLTC Perera,11,26.4,265,8,9.9,33.1,20,0,Mar-33,0.030188679,3.144654088,3.144654088,16.93775754,0.099633868
Wahab Riaz,8,27.4,248,8,9,31,20.8,0,Feb-32,0.032258065,3.360215054,3.360215054,17.1533185,0.100901874
MM Ali,7,20,178,7,8.9,25.4,17.1,0,22-Feb,0.039325843,4.096441948,4.096441948,16.16540746,0.095090632
PA van Meekeren,4,12,63,7,5.2,9,10.3,0,12-Apr,0.111111111,11.57407407,11.57407407,23.64303959,0.139076703
Mohammad Irfan,7,26.5,188,7,7,26.9,23,0,18-Feb,0.037234043,3.878546099,3.878546099,15.94751162,0.093808892
AU Rashid,9,31,239,7,7.7,34.1,26.6,0,18-Feb,0.029288703,3.050906555,3.050906555,15.11987207,0.088940424
Mohammad Sami,6,22,168,7,7.6,24,18.9,0,16-Feb,0.041666667,4.340277778,4.340277778,16.4092433,0.096524961
WP Masakadza,5,20,146,7,7.3,20.9,17.1,0,28-Apr,0.047945205,4.994292237,4.994292237,17.06325775,0.100372104
BB Sran,2,8,41,6,5.1,6.8,8,0,10-Apr,0.146341463,15.24390244,15.24390244,25.58873003,0.150521941
TS Chisoro,4,16,105,6,6.6,17.5,16,0,17-Mar,0.057142857,5.952380952,5.952380952,16.29720854,0.095865933
Tanwir Afzal,8,24,203,6,8.5,33.8,24,0,19-Feb,0.02955665,3.078817734,3.078817734,13.42364532,0.07896262
HMRKB Herath,8,31.2,199,6,6.4,33.2,31.3,0,22-Feb,0.030150754,3.140703518,3.140703518,13.4855311,0.079326654
NM Coulter-Nile,6,24,197,6,8.2,32.8,24,0,29-Mar,0.030456853,3.172588832,3.172588832,13.51741642,0.079514214
Sikandar Raza,10,20,165,6,8.2,27.5,20,0,7-Feb,0.036363636,3.787878788,3.787878788,14.13270637,0.083133567
WB Rankin,5,12.5,80,6,6.2,13.3,12.8,0,17-Mar,0.075,7.8125,7.8125,18.15732759,0.106807809
SK Raina,7,13.1,79,6,6,13.2,13.2,0,6-Feb,0.075949367,7.911392405,7.911392405,18.25621999,0.107389529
N Madziva,5,17.1,149,6,8.7,24.8,17.2,0,Apr-34,0.040268456,4.194630872,4.194630872,14.53945846,0.085526226
TJ Murtagh,7,20,145,6,7.2,24.2,20,0,23-Mar,0.04137931,4.310344828,4.310344828,14.65517241,0.086206897
MJ McClenaghan,8,26,187,6,7.2,31.2,26,0,17-Mar,0.032085561,3.342245989,3.342245989,13.68707358,0.080512198
Haseeb Amjad,6,18,145,5,8.1,29,21.6,0,21-Mar,0.034482759,3.591954023,3.591954023,12.21264368,0.07183908
Yuvraj Singh,9,17,113,5,6.6,22.6,20.4,0,7-Jan,0.044247788,4.609144543,4.609144543,13.2298342,0.077822554
JDF Vandersay,5,18,133,5,7.4,26.6,21.6,0,26-Feb,0.037593985,3.9160401,3.9160401,12.53672976,0.073745469
CJ Anderson,8,20,145,5,7.2,29,24,0,17-Feb,0.034482759,3.591954023,3.591954023,12.21264368,0.07183908
Mahmudullah,9,15,120,5,8,24,18,0,5-Feb,0.041666667,4.340277778,4.340277778,12.96096743,0.076240985
A Zampa,6,19,118,5,6.2,23.6,22.8,0,23-Mar,0.042372881,4.413841808,4.413841808,13.03453146,0.076673714
Ahmed Raza,8,28,168,5,6,33.6,33.6,0,19-Feb,0.029761905,3.100198413,3.100198413,11.72088807,0.0689464
TA Boult,4,15,131,5,8.7,26.2,18,0,21-Mar,0.038167939,3.975826972,3.975826972,12.59651663,0.074097157
BA Stokes,8,25.4,230,5,9,46,30.8,0,26-Mar,0.02173913,2.264492754,2.264492754,10.88518241,0.064030485
AC Evans,4,15,91,5,6.1,18.2,18,0,Feb-30,0.054945055,5.723443223,5.723443223,14.34413288,0.084377252
Qadeer Ahmed,7,20,148,5,7.4,29.6,24,0,25-Feb,0.033783784,3.519144144,3.519144144,12.1398338,0.071410787
Sabbir Rahman,5,8.1,54,5,6.6,10.8,9.8,0,11-Mar,0.092592593,9.645061728,9.645061728,18.26575138,0.107445596
Aamir Kaleem,5,15,126,5,8.4,25.2,18,0,Apr-36,0.03968254,4.133597884,4.133597884,12.75428754,0.075025221
Gulbadin Naib,9,17.3,173,5,9.9,34.6,21,0,25-Feb,0.028901734,3.010597303,3.010597303,11.63128696,0.068419335
CR Brathwaite,7,22,192,4,8.7,48,33,0,23-Mar,0.020833333,2.170138889,2.170138889,9.066690613,0.053333474
MD Shanaka,6,9,73,4,8.1,18.2,13.5,0,16-Mar,0.054794521,5.707762557,5.707762557,12.60431428,0.074143025
AD Mathews,7,21.4,130,4,6,32.5,32.5,0,27-Feb,0.030769231,3.205128205,3.205128205,10.10167993,0.059421647
M Ansari,5,20,191,4,9.6,47.8,30,0,Mar-37,0.020942408,2.181500873,2.181500873,9.078052597,0.053400309
SL Malinga,1,4,26,4,6.5,6.5,6,0,26-Apr,0.153846154,16.02564103,16.02564103,22.92219275,0.134836428
RD Berrington,4,9.4,58,4,6,14.5,14.5,0,22-Mar,0.068965517,7.183908046,7.183908046,14.08045977,0.082826234
MJ Henry,2,8,75,4,9.4,18.8,12,0,Mar-44,0.053333333,5.555555556,5.555555556,12.45210728,0.07324769
T Panyangara,3,12,79,4,6.6,19.8,18,0,Mar-32,0.050632911,5.274261603,5.274261603,12.17081333,0.07159302
Imad Wasim,6,22,162,4,7.4,40.5,33,0,Feb-31,0.024691358,2.572016461,2.572016461,9.468568185,0.05569746
TL Chatara,4,14,120,4,8.6,30,21,0,24-Feb,0.033333333,3.472222222,3.472222222,10.36877395,0.060992788
CA Young,4,12,73,4,6.1,18.2,18,0,15-Feb,0.054794521,5.707762557,5.707762557,12.60431428,0.074143025
LE Plunkett,5,20,129,4,6.4,32.2,30,0,27-Feb,0.031007752,3.22997416,3.22997416,10.12652588,0.059567799
N Vanua,3,10,66,4,6.6,16.5,15,0,26-Mar,0.060606061,6.313131313,6.313131313,13.20968304,0.077704018
Mudassar Bukhari,3,8.5,43,4,4.9,10.8,13.2,0,7-Apr,0.093023256,9.689922481,9.689922481,16.5864742,0.097567495
Bilal Khan,5,19,139,4,7.3,34.8,28.5,0,Mar-33,0.028776978,2.997601918,2.997601918,9.894153643,0.058200904
Arafat Sunny,4,13,106,4,8.2,26.5,19.5,0,Feb-34,0.037735849,3.93081761,3.93081761,10.82736933,0.063690408
D Wiese,8,26,230,4,8.8,57.5,39,0,16-Feb,0.017391304,1.811594203,1.811594203,8.708145927,0.051224388
T van der Gugten,2,5,38,4,7.6,9.5,7.5,0,21-Mar,0.105263158,10.96491228,10.96491228,17.861464,0.105067435
LM Jongwe,4,13.4,154,4,11.3,38.5,20.5,0,Jan-34,0.025974026,2.705627706,2.705627706,9.60217943,0.056483408
MJG Rippon,2,7.4,28,4,3.7,7,11.5,0,8-Mar,0.142857143,14.88095238,14.88095238,21.77750411,0.128102965
Farhan Ahmed,3,9,66,3,7.3,22,18,0,28-Feb,0.045454545,4.734848485,4.734848485,9.907262278,0.058278013
SC Williams,6,16,119,3,7.4,39.7,32,0,22-Jan,0.025210084,2.62605042,2.62605042,7.798464213,0.045873319
DS Kulkarni,2,8,55,3,6.9,18.3,16,0,23-Feb,0.054545455,5.681818182,5.681818182,10.85423197,0.063848423
AM Phangiso,2,8,45,3,5.6,15,16,0,26-Feb,0.066666667,6.944444444,6.944444444,12.11685824,0.071275637
BTJ Wheal,2,5.2,33,3,6.2,11,10.7,0,20-Mar,0.090909091,9.46969697,9.46969697,14.64211076,0.086130063
NL McCullum,2,5,21,3,4.2,7,10,0,15-Feb,0.142857143,14.88095238,14.88095238,20.05336617,0.117960977
MR Marsh,4,10,83,3,8.3,27.7,20,0,17-Jan,0.036144578,3.765060241,3.765060241,8.937474034,0.052573377
AV Lalcheta,4,14.3,131,3,9,43.7,29,0,29-Jan,0.022900763,2.385496183,2.385496183,7.557909976,0.044458294
CJ Chibhabha,5,15,136,3,9.1,45.3,30,0,13-Feb,0.022058824,2.297794118,2.297794118,7.470207911,0.043942399
Samiullah Shenwari,7,22,138,3,6.3,46,44,0,21-Jan,0.02173913,2.264492754,2.264492754,7.436906547,0.043746509
Abu Hider,4,11,101,3,9.2,33.7,22,0,Feb-39,0.02970297,3.094059406,3.094059406,8.266473199,0.048626313
CJA Amini,3,4.1,33,3,7.9,11,8.3,0,13-Feb,0.090909091,9.46969697,9.46969697,14.64211076,0.086130063
YS Chahal,3,12,90,3,7.5,30,24,0,20-Jan,0.033333333,3.472222222,3.472222222,8.644636015,0.0508508
A Mishra,1,4,24,3,6,8,8,0,24-Mar,0.125,13.02083333,13.02083333,18.19324713,0.107019101
Mehran Khan,3,8,52,3,6.5,17.3,16,0,18-Mar,0.057692308,6.009615385,6.009615385,11.18202918,0.065776642
Mohammed Shami,2,6.4,79,3,11.8,26.3,13.3,0,Feb-31,0.037974684,3.955696203,3.955696203,9.128109996,0.053694765
MA Leask,3,10,77,3,7.7,25.7,20,0,26-Feb,0.038961039,4.058441558,4.058441558,9.230855352,0.054299149
A Vala,2,5,33,3,6.6,11,10,0,19-Feb,0.090909091,9.46969697,9.46969697,14.64211076,0.086130063
GJ Maxwell,9,19,158,3,8.3,52.7,38,0,18-Feb,0.018987342,1.977848101,1.977848101,7.150261894,0.042060364
RE van der Merwe,2,4,31,3,7.8,10.3,8,0,3-Feb,0.096774194,10.08064516,10.08064516,15.25305895,0.089723876
T Muzarabani,4,13,124,3,9.5,41.3,26,0,Feb-31,0.024193548,2.52016129,2.52016129,7.692575083,0.045250442
DW Steyn,4,14,130,3,9.3,43.3,28,0,Feb-32,0.023076923,2.403846154,2.403846154,7.576259947,0.044566235
CA Soper,2,4.1,21,3,5,7,8.3,0,13-Mar,0.142857143,14.88095238,14.88095238,20.05336617,0.117960977
LA Dawson,1,4,27,3,6.8,9,8,0,27-Mar,0.111111111,11.57407407,11.57407407,16.74648787,0.098508752
B Kumar,3,12,87,3,7.2,29,24,0,8-Feb,0.034482759,3.591954023,3.591954023,8.764367816,0.051555105
CAK Rajitha,2,8,74,3,9.2,24.7,16,0,29-Mar,0.040540541,4.222972973,4.222972973,9.395386766,0.055266981
Hamid Hassan,4,13.3,85,3,6.3,28.3,27,0,11-Feb,0.035294118,3.676470588,3.676470588,8.848884381,0.052052261
MS Chapman,4,10,77,3,7.7,25.7,20,0,10-Jan,0.038961039,4.058441558,4.058441558,9.230855352,0.054299149
P Raho,2,3,20,3,6.7,6.7,6,0,11-Mar,0.15,15.625,15.625,20.79741379,0.122337728
TAM Siriwardana,9,13,119,3,9.2,39.7,26,0,Feb-33,0.025210084,2.62605042,2.62605042,7.798464213,0.045873319
AJ Tye,3,11.2,119,2,10.5,59.5,34,0,28-Jan,0.016806723,1.75070028,1.75070028,5.198976142,0.030582213
AR Patel,3,12,59,2,4.9,29.5,36,0,18-Jan,0.033898305,3.531073446,3.531073446,6.979349308,0.041054996
CH Gayle,1,3,17,2,5.7,8.5,9,0,17-Feb,0.117647059,12.25490196,12.25490196,15.70317782,0.092371634
Umar Gul,2,6,56,2,9.3,28,18,0,Feb-38,0.035714286,3.720238095,3.720238095,7.168513957,0.042167729
MW Machan,2,6,48,2,8,24,18,0,26-Feb,0.041666667,4.340277778,4.340277778,7.78855364,0.045815021
PW Borren,3,5,35,2,7,17.5,15,0,9-Jan,0.057142857,5.952380952,5.952380952,9.400656814,0.055297981
RJ Campbell,3,10,68,2,6.8,34,30,0,28-Feb,0.029411765,3.06372549,3.06372549,6.512001352,0.03830589
Shoaib Malik,7,9.4,84,2,8.7,42,29,0,3-Jan,0.023809524,2.48015873,2.48015873,5.928434592,0.034873145
N Pokana,3,4.5,29,2,6,14.5,14.5,0,5-Jan,0.068965517,7.183908046,7.183908046,10.63218391,0.062542258
Sayed Shirzad,1,4,31,2,7.8,15.5,12,0,Feb-31,0.064516129,6.720430108,6.720430108,10.16870597,0.059815917
JW Hastings,5,17,158,2,9.3,79,51,0,Feb-42,0.012658228,1.318565401,1.318565401,4.766841263,0.028040243
JE Root,2,2,22,2,11,11,6,0,9-Feb,0.090909091,9.46969697,9.46969697,12.91797283,0.075988075
Shapoor Zadran,4,12,109,2,9.1,54.5,36,0,21-Jan,0.018348624,1.911314985,1.911314985,5.359590847,0.031527005
CJ Boyce,2,7,51,2,7.3,25.5,21,0,28-Feb,0.039215686,4.08496732,4.08496732,7.533243182,0.044313195
SMSM Senanayake,3,11,80,2,7.3,40,33,0,18-Jan,0.025,2.604166667,2.604166667,6.052442529,0.035602603
JH Davey,4,15.1,119,2,7.8,59.5,45.5,0,22-Jan,0.016806723,1.75070028,1.75070028,5.198976142,0.030582213
MR Swart,2,3,17,2,5.7,8.5,9,0,5-Jan,0.117647059,12.25490196,12.25490196,15.70317782,0.092371634
Shuvagata Hom,4,11,71,2,6.5,35.5,33,0,18-Jan,0.028169014,2.9342723,2.9342723,6.382548163,0.037544401
F Behardien,1,3,15,2,5,7.5,9,0,15-Feb,0.133333333,13.88888889,13.88888889,17.33716475,0.101983322
Khawar Ali,2,6,44,2,7.3,22,18,0,20-Jan,0.045454545,4.734848485,4.734848485,8.183124347,0.048136026
MD Dai,3,8,54,2,6.8,27,24,0,26-Feb,0.037037037,3.858024691,3.858024691,7.306300553,0.042978239
SJ Benn,6,22,150,2,6.8,75,66,0,18-Jan,0.013333333,1.388888889,1.388888889,4.837164751,0.02845391
RAS Lakmal,2,6.4,67,1,10,67,40,0,28-Jan,0.014925373,1.554726368,1.554726368,3.278864299,0.019287437
JR Hazlewood,3,12,114,1,9.5,114,72,0,26-Jan,0.00877193,0.91374269,0.91374269,2.637880621,0.015516945
PR Stirling,3,8,49,1,6.1,49,48,0,19-Jan,0.020408163,2.12585034,2.12585034,3.849988271,0.02264699
Asghar Stanikzai,1,0.4,4,1,6,4,4,0,4-Jan,0.25,26.04166667,26.04166667,27.7658046,0.163328262
Zeeshan Maqsood,2,6,72,1,12,72,36,0,Jan-54,0.013888889,1.446759259,1.446759259,3.17089719,0.018652336
GT Main,1,1,13,1,13,13,6,0,13-Jan,0.076923077,8.012820513,8.012820513,9.736958444,0.057276226
VJ Kingma,1,4,32,1,8,32,24,0,Jan-32,0.03125,3.255208333,3.255208333,4.979346264,0.029290272
Anshuman Rath,6,13,134,1,10.3,134,78,0,Jan-40,0.007462687,0.777363184,0.777363184,2.501501115,0.014714712
P Negi,1,3,16,1,5.3,16,18,0,16-Jan,0.0625,6.510416667,6.510416667,8.234554598,0.048438556
Mohammad Shahid,1,3,32,1,10.7,32,18,0,Jan-32,0.03125,3.255208333,3.255208333,4.979346264,0.029290272
CD de Lange,1,4,19,1,4.8,19,24,0,19-Jan,0.052631579,5.48245614,5.48245614,7.206594071,0.04239173
DJG Sammy,2,3,31,1,10.3,31,18,0,17-Jan,0.032258065,3.360215054,3.360215054,5.084352985,0.029907959
Harbhajan Singh,1,4,11,1,2.8,11,24,0,11-Jan,0.090909091,9.46969697,9.46969697,11.1938349,0.065846088
Tanveer Ahmed,1,4,31,1,7.8,31,24,0,31-Jan,0.032258065,3.360215054,3.360215054,5.084352985,0.029907959
Nasir Hossain,2,5,46,1,9.2,46,30,0,24-Jan,0.02173913,2.264492754,2.264492754,3.988630685,0.023462533
Sufyan Mehmood,1,4,22,1,5.5,22,24,0,22-Jan,0.045454545,4.734848485,4.734848485,6.458986416,0.037994038
DSNFG Jayasuriya,4,9,71,1,7.9,71,54,0,13-Jan,0.014084507,1.46713615,1.46713615,3.191274081,0.0187722
Zaheer Maqsood,2,6,50,1,8.3,50,36,0,29-Jan,0.02,2.083333333,2.083333333,3.807471264,0.02239689
Amir Ali,4,7,54,1,7.7,54,42,0,6-Jan,0.018518519,1.929012346,1.929012346,3.653150277,0.021489119
V Kohli,1,1.4,15,1,9,15,10,0,15-Jan,0.066666667,6.944444444,6.944444444,8.668582375,0.050991661
KA Pollard,1,3,30,1,10,30,18,0,30-Jan,0.033333333,3.472222222,3.472222222,5.196360153,0.030566824
RJW Topley,4,9.1,114,1,12.4,114,55,0,22-Jan,0.00877193,0.91374269,0.91374269,2.637880621,0.015516945
Ahsan Malik,3,8,59,1,7.4,59,48,0,Jan-41,0.016949153,1.765536723,1.765536723,3.489674654,0.020527498
R Dhawan,1,4,42,1,10.5,42,24,0,Jan-42,0.023809524,2.48015873,2.48015873,4.204296661,0.024731157
TM Dilshan,4,5,31,1,6.2,31,30,0,2-Jan,0.032258065,3.360215054,3.360215054,5.084352985,0.029907959
AC Agar,2,3,43,1,14.3,43,18,0,25-Jan,0.023255814,2.42248062,2.42248062,4.146618551,0.024391874
JP Duminy,4,7,89,1,12.7,89,42,0,31-Jan,0.011235955,1.170411985,1.170411985,2.894549916,0.017026764
RML Taylor,4,11,96,1,8.7,96,66,0,22-Jan,0.010416667,1.085069444,1.085069444,2.809207375,0.016524749
A Mehmood,1,1,12,0,12,-,-,0,0/12,0,0,0,0,0
JB Reva,1,1,15,0,15,-,-,0,0/15,0,0,0,0,0
STR Binny,1,1,32,0,32,-,-,0,0/32,0,0,0,0,0
Muktar Ali,1,2,17,0,8.5,-,-,0,0/17,0,0,0,0,0
CS MacLeod,1,1,15,0,15,-,-,0,0/15,0,0,0,0,0
MF Maharoof,1,3,26,0,8.7,-,-,0,0/26,0,0,0,0,0
Mosaddek Hossain,1,2,10,0,5,-,-,0,0/10,0,0,0,0,0
SW Tait,2,8,91,0,11.4,-,-,0,0/45,0,0,0,0,0
S Prasanna,4,10,66,0,6.6,-,-,0,0/3,0,0,0,0,0
TD Astle,2,4,41,0,10.2,-,-,0,0/13,0,0,0,0,0
C Munro,2,3,30,0,10,-,-,0,0/13,0,0,0,0,0
DAS Gunaratne,1,2.5,22,0,7.8,-,-,0,0/22,0,0,0,0,0
JE Taylor,1,3,30,0,10,-,-,0,0/30,0,0,0,0,0
KW Richardson,1,4,41,0,10.2,-,-,0,0/41,0,0,0,0,0
E Chigumbura,1,1,16,0,16,-,-,0,0/16,0,0,0,0,0
Karim Sadiq,4,7,65,0,9.3,-,-,0,0/12,0,0,0,0,0
Mohammad Nawaz (3),2,6,64,0,10.7,-,-,0,0/26,0,0,0,0,0
SP Narine,1,3,50,0,16.7,-,-,0,0/50,0,0,0,0,0
H Hiri,1,1,5,0,5,-,-,0,0/5,0,0,0,0,0
RLB Rambukwella,1,2.3,27,0,10.8,-,-,0,0/27,0,0,0,0,0
Fahad Tariq,2,3,26,0,8.7,-,-,0,0/8,0,0,0,0,0
MD Gunathilaka,1,1,9,0,9,-,-,0,0/9,0,0,0,0,0
TM Head,1,1,9,0,9,-,-,0,0/9,0,0,0,0,0
LV van Beek,1,4,43,0,10.8,-,-,0,0/43,0,0,0,0,0
CRD Fernando,1,2,7,0,3.5,-,-,0,0/7,0,0,0,0,0
JD Unadkat,1,4,43,0,10.8,-,-,0,0/43,0,0,0,0,0
KMC Bandara,1,1,11,0,11,-,-,0,0/11,0,0,0,0,0
TS Mills,1,4,22,0,5.5,-,-,0,0/22,0,0,0,0,0
S Bau,1,1,11,0,11,-,-,0,0/11,0,0,0,0,0
SM Boland,2,7,64,0,9.1,-,-,0,0/30,0,0,0,0,0
BV Vitori,3,11,98,0,8.9,-,-,0,0/24,0,0,0,0,0
KS Williamson,1,1,3,0,3,-,-,0,0/3,0,0,0,0,0
Mirwais Ashraf,1,1,22,0,22,-,-,0,0/22,0,0,0,0,0
MP O'Dowd,1,1,7,0,7,-,-,0,0/7,0,0,0,0,0
I Udana,1,3,34,0,11.3,-,-,0,0/34,0,0,0,0,0
NM Lyon,1,1,15,0,15,-,-,0,0/15,0,0,0,0,0
N Pradeep,1,2,12,0,6,-,-,0,0/12,0,0,0,0,0
Saqlain Sajib,1,3.3,40,0,11.4,-,-,0,0/40,0,0,0,0,0
SR Thompson,3,6,53,0,8.8,-,-,0,0/7,0,0,0,0,0
Anwar Ali,2,5.1,56,0,10.8,-,-,0,0/25,0,0,0,0,0
