Batsman,Innings,Runs,Balls,Outs,Avg,SR,100s,50s,HS,Initial_Q,MakeItRelative,Remove_outliers,Semi_final_Q,Quantifier
CH Gayle,27,"1,031",682,22,46.9,151.2,2,5,117,0.068715009,15.27000207,15.27000207,145.2700021,0.72635001
LMP Simmons,26,902,777,24,37.6,116.1,0,9,71,0.048369798,10.74884408,10.74884408,126.9952068,0.634976034
KA Pollard,25,729,475,20,36.4,153.5,0,4,82,0.076736842,17.05263158,17.05263158,78.26504671,0.391325234
DR Smith,27,677,593,27,25.1,114.2,0,3,62,0.04228343,9.396317809,9.396317809,59.09563886,0.295478194
KP Pietersen,18,619,463,16,38.7,133.7,0,5,83,0.083558315,18.56851452,18.56851452,86.5801537,0.432900769
DA Warner,14,562,356,13,43.2,157.9,0,7,91,0.121434745,26.9854989,26.9854989,113.3385542,0.566692771
MC Henriques,17,541,404,12,45.1,133.9,0,4,77,0.111592409,24.79831316,24.79831316,80.54031122,0.402701556
AM Rahane,13,540,412,11,49.1,131.1,0,4,91,0.119152692,26.47837599,26.47837599,82.19127609,0.41095638
CA Lynn,19,534,367,17,31.4,145.5,1,3,101,0.08559064,19.02014212,19.02014212,89.55845443,0.447792272
AD Russell,23,521,294,18,28.9,177.2,0,3,66,0.098450491,21.87788696,21.87788696,67.03792575,0.335189629
AB de Villiers,14,513,291,11,46.6,176.3,1,2,133,0.160262418,35.61387067,35.61387067,95.54112576,0.477705629
JH Kallis,20,512,446,17,30.1,114.8,0,3,70,0.067528357,15.00630147,15.00630147,59.9044586,0.299522293
V Kohli,16,505,386,11,45.9,130.8,0,3,82,0.118935469,26.43010415,26.43010415,71.12457554,0.355622878
RG Sharma,16,482,333,14,34.4,144.7,0,3,98,0.103389103,22.97535631,22.97535631,67.00057454,0.335002873
GJ Bailey,19,456,340,15,30.4,134.1,0,3,62,0.089411765,19.86928105,19.86928105,63.13795224,0.315689761
SS Iyer,14,439,342,13,33.8,128.4,0,4,83,0.098740441,21.94232019,21.94232019,74.71632601,0.37358163
BJ Hodge,15,439,328,11,39.9,133.8,0,3,65,0.121674058,27.03867948,27.03867948,69.8126853,0.349063426
BB McCullum,14,436,276,13,33.5,158,1,2,100,0.121516165,27.00359222,27.00359222,84.69030415,0.423451521
DJ Bravo,28,432,338,17,25.4,127.8,0,1,62,0.075182736,16.70727463,16.70727463,39.2775947,0.196387974
