Batsman,Innings,Runs,Balls,Outs,Avg,SR,100s,50s,HS,Initial_Q,MakeItRelative,Remove_outliers,Semi_final_Q,Quantifier
Nadeem Ahmed,2,3,7,1,3,42.9,0,0,2,0.428571429,87.46355685,87.46355685,87.60374377,0.438018719
RE van der Merwe,2,3,5,2,1.5,60,0,0,2,0.3,61.2244898,61.2244898,61.36467671,0.306823384
CJ Boyce,1,3,6,1,3,50,0,0,3,0.5,102.0408163,0,0.140186916,0.000700935
CAK Rajitha,1,3,7,1,-,42.9,0,0,3,0.428571429,87.46355685,87.46355685,87.60374377,0.438018719
Zaheer Maqsood,1,2,5,1,2,40,0,0,2,0.4,81.63265306,81.63265306,81.72611101,0.408630555
AF Milne,1,2,2,1,-,100,0,0,2,1,204.0816327,0,0.093457944,0.00046729
BTJ Wheal,1,2,2,1,-,100,0,0,2,1,204.0816327,0,0.093457944,0.00046729
Sultan Ahmed,3,2,6,2,1,33.3,0,0,1,0.166666667,34.01360544,34.01360544,34.10706339,0.170535317
H Hiri,2,2,6,2,1,33.3,0,0,1,0.166666667,34.01360544,34.01360544,34.10706339,0.170535317
KMC Bandara,1,2,4,1,-,50,0,0,2,0.5,102.0408163,0,0.093457944,0.00046729
Mohammad Amir,2,2,15,1,2,13.3,0,0,1,0.133333333,27.21088435,27.21088435,27.3043423,0.136521711
TD Astle,1,1,5,1,1,20,0,0,1,0.2,40.81632653,40.81632653,40.8630555,0.204315278
KDK Vithanage,1,1,4,1,1,25,0,0,1,0.25,51.02040816,51.02040816,51.06713714,0.255335686
VJ Kingma,1,1,4,1,1,25,0,0,1,0.25,51.02040816,51.02040816,51.06713714,0.255335686
CRD Fernando,1,1,6,1,1,16.7,0,0,1,0.166666667,34.01360544,34.01360544,34.06033441,0.170301672
AC Evans,2,1,4,1,1,25,0,0,1,0.25,51.02040816,51.02040816,51.06713714,0.255335686
Bilal Khan,1,1,1,1,-,100,0,0,1,1,204.0816327,0,0.046728972,0.000233645
R Dhawan,1,1,2,1,-,50,0,0,1,0.5,102.0408163,0,0.046728972,0.000233645
Shapoor Zadran,2,1,3,2,0.5,33.3,0,0,1,0.166666667,34.01360544,34.01360544,34.06033441,0.170301672
Mirwais Ashraf,1,1,2,1,-,50,0,0,1,0.5,102.0408163,0,0.046728972,0.000233645
RAS Lakmal,2,1,2,1,-,50,0,0,1,0.5,102.0408163,0,0.046728972,0.000233645
SW Tait,1,1,3,1,-,33.3,0,0,1,0.333333333,68.02721088,68.02721088,68.07393986,0.340369699
DS Kulkarni,1,1,1,1,-,100,0,0,1,1,204.0816327,0,0.046728972,0.000233645
Umar Gul,1,1,1,1,-,100,0,0,1,1,204.0816327,0,0.046728972,0.000233645
RJW Topley,1,1,2,1,-,50,0,0,1,0.5,102.0408163,0,0.046728972,0.000233645
I Udana,1,0,2,1,0,0,0,0,0,0,0,0,0,0
T Muzarabani,2,0,3,1,-,0,0,0,0,0,0,0,0,0
MJG Rippon,1,0,1,1,0,0,0,0,0,0,0,0,0,0
N Pradeep,1,0,1,1,0,0,0,0,0,0,0,0,0,0
NL McCullum,1,0,1,1,0,0,0,0,0,0,0,0,0,0
PA van Meekeren,1,0,2,1,0,0,0,0,0,0,0,0,0,0
A Mehmood,1,0,1,1,-,0,0,0,0,0,0,0,0,0
Tanveer Ahmed,1,0,2,1,0,0,0,0,0,0,0,0,0,0
JJ Bumrah,1,0,2,1,0,0,0,0,0,0,0,0,0,0
Al-Amin Hossain,1,0,2,1,0,0,0,0,0,0,0,0,0,0
