Bowler,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,Initial_Q,MakeItRelative,Remove_outliers,Semi_final_Q,Quantifier
SP Narine,20,80,559,23,7,24.3,20.9,0,27-Mar,0.041144902,40.80202748,40.80202748,90.80202748,0.534129573
SR Watson,19,56,496,19,8.9,26.1,17.7,0,Apr-44,0.038306452,37.98723123,37.98723123,79.29157906,0.466421053
Sohail Khan,9,31.3,240,16,7.6,15,11.8,0,23-Mar,0.066666667,66.1111112,66.1111112,100.8937199,0.59349247
B Kumar,6,24,137,15,5.7,9.1,9.6,1,19-May,0.109489051,108.5766425,0,42.60869565,0.250639386
Wahab Riaz,9,33,202,15,6.1,13.5,13.2,0,24-Mar,0.074257426,73.63861396,73.63861396,106.2473096,0.624984174
SM Boland,8,30.1,253,14,8.4,18.1,12.9,0,30-Apr,0.055335968,54.87483538,54.87483538,85.30961799,0.501821282
NLTC Perera,10,32.1,292,13,9.1,22.5,14.8,0,25-Apr,0.044520548,44.14954344,44.14954344,72.410413,0.425943606
AJ Tye,10,38.2,285,13,7.4,21.9,17.7,1,17-May,0.045614035,45.23391819,45.23391819,83.49478775,0.49114581
Rumman Raees,7,26.1,162,12,6.2,13.5,13.1,0,25-Apr,0.074074074,73.45679022,73.45679022,99.54374674,0.585551451
CH Morris,5,18,119,12,6.6,9.9,9,0,26-Apr,0.100840336,100.0000001,100.0000001,126.0869567,0.74168798
Mohammad Sami,9,31,217,12,7,18.1,15.5,0,26-Mar,0.055299539,54.83870975,54.83870975,80.92566627,0.476033331
Usama Mir,8,27.5,228,12,8.2,19,13.9,0,24-Mar,0.052631579,52.19298253,52.19298253,78.27993905,0.46047023
Hasan Ali,10,36.3,260,12,7.1,21.7,18.2,0,23-Mar,0.046153846,45.76923083,45.76923083,71.85618735,0.422683455
PJ Cummins,8,31.1,254,11,8.1,23.1,17,0,23-Feb,0.043307087,42.94619428,42.94619428,66.85923776,0.393289634
SA Abbott,6,22,212,11,9.6,19.3,12,0,Apr-40,0.051886792,51.45440258,51.45440258,75.36744606,0.443337918
CJ Jordan,8,26,185,11,7.1,16.8,14.2,0,24-Mar,0.059459459,58.96396404,58.96396404,82.87700752,0.487511809
TS Mills,11,41.5,317,11,7.6,28.8,22.8,0,20-Mar,0.034700315,34.41114621,34.41114621,58.32418969,0.343083469
Sohail Tanvir,8,29.5,251,10,8.4,25.1,17.9,0,24-Feb,0.039840637,39.50863219,39.50863219,61.24776263,0.360280957
IS Sodhi,3,11.3,70,10,6.1,7,6.9,1,11-Jun,0.142857143,141.6666669,0,31.73913043,0.186700767
