Bowler,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,Initial_Q,MakeItRelative,Remove_outliers,Semi_final_Q,Quantifier
Haseeb Amjad,4,14,96,5,6.9,19.2,16.8,0,25-Mar,0.052083333,59.86590038,59.86590038,73.02379512,0.429551736
KJ Abbott,4,10.5,63,5,5.8,12.6,13,0,21-Mar,0.079365079,91.22422916,91.22422916,104.3821239,0.614012493
Tanwir Afzal,4,13,66,5,5.1,13.2,15.6,0,8-Feb,0.075757576,87.07767328,87.07767328,100.235568,0.589620988
BE Hendricks,5,16.4,149,5,8.9,29.8,20,0,Feb-31,0.033557047,38.57131837,38.57131837,51.7292131,0.304289489
Sompal Kami,4,13,83,5,6.4,16.6,15.6,0,13-Feb,0.060240964,69.24248719,69.24248719,82.40038193,0.484708129
MN Samuels,9,22.4,147,5,6.5,29.4,27.2,0,20-Feb,0.034013605,39.09609821,39.09609821,52.25399295,0.307376429
T Panyangara,3,11,98,5,8.9,19.6,13.2,0,Apr-37,0.051020408,58.64414731,58.64414731,71.80204205,0.422364953
LV van Beek,6,13,117,5,9,23.4,15.6,0,9-Mar,0.042735043,49.12073878,49.12073878,62.27863351,0.366344903
TT Bresnan,9,28.5,277,5,9.6,55.4,34.6,0,Feb-51,0.018050542,20.74774887,20.74774887,33.90564361,0.199444962
Mohammed Shami,4,14,125,5,8.9,25,16.8,0,Mar-38,0.04,45.97701149,45.97701149,59.13490623,0.34785239
Saeed Ajmal,4,15,112,4,7.5,28,22.5,0,20-Feb,0.035714286,41.05090312,41.05090312,51.57721891,0.303395405
Sohail Tanvir,4,14.4,102,4,7,25.5,22,0,24-Feb,0.039215686,45.07550146,45.07550146,55.60181725,0.327069513
JC Tredwell,9,34.5,250,4,7.2,62.5,52.2,0,16-Jan,0.016,18.3908046,18.3908046,28.91712039,0.170100708
Zulfiqar Babar,3,11,77,4,7,19.2,16.5,0,26-Feb,0.051948052,59.71040454,59.71040454,70.23672033,0.413157178
GH Dockrell,5,14.5,99,4,6.7,24.8,22.2,0,18-Feb,0.04040404,46.44142575,46.44142575,56.96774154,0.335104362
Raza Hasan,3,12,65,4,5.4,16.2,18,0,17-Feb,0.061538462,70.73386384,70.73386384,81.26017963,0.478001057
Shapoor Zadran,3,9,53,4,5.9,13.2,13.5,0,19-Feb,0.075471698,86.74907829,86.74907829,97.27539408,0.5722082
B Kumar,6,18.5,103,4,5.5,25.8,28.2,0,7-Jan,0.038834951,44.63787524,44.63787524,55.16419103,0.324495241
JR Hazlewood,2,8,76,4,9.5,19,12,0,30-Apr,0.052631579,60.49606776,60.49606776,71.02238355,0.417778727
SC Williams,3,11.5,64,4,5.4,16,17.8,0,15-Mar,0.0625,71.83908046,71.83908046,82.36539625,0.484502331
JK Mukhiya,3,8,46,4,5.8,11.5,12,0,18-Mar,0.086956522,99.95002499,99.95002499,110.4763408,0.649860828
RJ Peterson,1,4,28,3,7,9.3,8,0,28-Mar,0.107142857,123.1527094,0,7.894736842,0.046439628
Bilawal Bhatti,2,4,53,3,13.2,17.7,8,0,Feb-36,0.056603774,65.06180872,65.06180872,72.95654556,0.42915615
Arafat Sunny,2,5,25,3,5,8.3,10,0,17-Feb,0.12,137.9310345,0,7.894736842,0.046439628
MM Sharma,4,11,102,3,9.3,34,22,0,11-Jan,0.029411765,33.8066261,33.8066261,41.70136294,0.245302135
TL Chatara,3,10.4,51,3,4.8,17,21.3,0,21-Feb,0.058823529,67.6132522,67.6132522,75.50798904,0.444164641
Mohammad Nabi,3,11,63,3,5.7,21,22,0,27-Feb,0.047619048,54.73453749,54.73453749,62.62927434,0.368407496
PJ Cummins,3,12,55,3,4.6,18.3,24,0,11-Jan,0.054545455,62.69592476,62.69592476,70.59066161,0.415239186
Nizakat Khan,2,6,42,3,7,14,12,0,19-Mar,0.071428571,82.10180624,82.10180624,89.99654308,0.52939143
SR Watson,7,17,148,3,8.7,49.3,34,0,25-Jan,0.02027027,23.29916123,23.29916123,31.19389807,0.183493518
Irfan Ahmed,4,13,90,3,6.9,30,26,0,24-Feb,0.033333333,38.31417625,38.31417625,46.20891309,0.271817136
D Wiese,1,4,21,3,5.2,7,8,0,21-Mar,0.142857143,164.2036125,0,7.894736842,0.046439628
JP Duminy,9,17,151,3,8.9,50.3,34,0,5-Feb,0.01986755,22.83626399,22.83626399,30.73100083,0.180770593
NLTC Perera,4,10,98,3,9.8,32.7,20,0,Feb-42,0.030612245,35.18648839,35.18648839,43.08122523,0.253418972
Mudassar Bukhari,6,21.3,144,3,6.7,48,43,0,12-Mar,0.020833333,23.94636015,23.94636015,31.841097,0.187300571
TL Best,2,7,77,3,11,25.7,14,0,Mar-40,0.038961039,44.7828034,44.7828034,52.67754025,0.309867884
MC Henriques,2,6,51,3,8.5,17,12,0,Feb-36,0.058823529,67.6132522,67.6132522,75.50798904,0.444164641
TLW Cooper,4,7,61,3,8.7,20.3,14,0,18-Feb,0.049180328,56.52911249,56.52911249,64.42384934,0.37896382
AF Milne,3,12,55,3,4.6,18.3,24,0,22-Feb,0.054545455,62.69592476,62.69592476,70.59066161,0.415239186
HF Gurney,2,8,55,3,6.9,18.3,16,0,26-Feb,0.054545455,62.69592476,62.69592476,70.59066161,0.415239186
CR Woakes,2,8,74,2,9.2,37,24,0,31-Jan,0.027027027,31.06554831,31.06554831,36.3287062,0.213698272
