Mohammad Hafeez,0.446409795
DJ Hooda,0.494032802
IA Moran,0.453944163
SD Parry,0.28966408
Shamsur Rahman,0.252136995
A Mgijima,0
Mohammad Mithun,0.154541015
H Davids,0.228268765
L Bowe,0.233908781
MA Wood,0.055147059
UT Khawaja,0.255342617
CA Soper,0.061550582
SR Thompson,0.55679833
A Zampa,0.509393801
AKKY Lanka,0.00135
RM Duffield,0.639989699
AM Nayar,0.352665781
K Zondo,0.762252844
AN Ahmed,0.15900811
SJC Keen,0
M Manhas,0.400542593
SA Jacobs,0.127976412
Q de Kock,0.268412304
A Bramble,0.21264195
H Miller,0.004655674
MP Stoinis,0.533816957
Aizaz Cheema,0.508745803
Fayyaz Ahmed,0.239445057
Yuvraj Singh,0.370037699
PSP Handscomb,0.310356432
M Vijay,0.180387114
S van Zyl,0.403184568
K Pala,0.016226913
DSNFG Jayasuriya,0.35062932
JA Burns,0.465251818
Karim Janat,0.344015778
CAK Walton,0.284578384
RR Beaton,0.119722484
JK Reed,0.19527485
Mir Hamza,0.067157751
KK Nair,0.259167825
ST Gabriel,0.393962264
JJ Atkinson,0.306730941
TM Head,0.496958358
PP Ojha,0.411116876
A Nehra,0.514148492
DJM Short,0.315106439
Reardon,0.003208556
CA Rose,0.171536293
SS Tiwary,0.191518242
AM McCarthy,0.001387461
LA Pomersbach,0.396063279
DL Chahar,0.062220511
RI Ahmed,0.278928467
SM Ervine,0.006417112
MJ North,0.599473381
Raza Hasan,0.482912896
OA Shah,0.130932853
WD Parnell,0.337802004
RR Rossouw,0.273143341
Mehran Khan,0.567811534
R Sharma,0.136285283
IR Bell,0.078009387
J Botha,0.383615115
EJM Cowan,0.155433668
HWR Cartwright,0.258645924
AR Nurse,0.303026975
M Mosehle,0.040607735
Nurul Hasan,0.229826965
Shadab Khan,0.804674279
RE Levi,0.01845
Tejas Baroka,0
Munir Dar,0.014735516
DJ Bravo,0.64220566
NB Budayair,0.207323199
PJ Hughes,0.169016764
Farhan Ahmed,0.059212592
LH Ferguson,0.708505609
AR McBrine,0.171208146
RA Reifer,0.342245206
CK Langeveldt,0.459426195
S Rana,0.433403704
D Paterson,0
JK Lalor,0.305840023
Sharafuddin Ashraf,0.210962723
Mirwais Ashraf,0.418199308
MJ McClenaghan,0.351710135
CJ Alexander,0.259016665
RG Sharma,0.77942613
VR Aaron,0.464917852
AT Rayudu,0.242731234
PJ Forrest,0.372267534
R Sathish,0.122442994
Rony Talukdar,0.008311346
AS Rajpoot,0.36615166
Mohammad Sami,0.466848569
NM Hauritz,0.295284045
LRPL Taylor,0.27152999
DAS Gunaratne,0.606302927
Umar Gul,0.381523814
Adnan Rasool,0.163998693
SP Patil,0.237960036
JA Morkel,0.378227366
Rumman Raees,0.308886325
BR McDermott,0.202858764
M Ansari,0.151944988
E Leie,0.511804155
KJ Cottoy,0.033549462
RG More,0.140862909
GS Sandhu,0.369406286
Bilawal Bhatti,0.270915932
PM Nevill,0.124846564
Yamin Ahmadzai,0.575735628
NJ Maddinson,0.176514457
I Udana,0.126884385
KJ Abbott,0.347042456
DJ Harris,0.271968254
SSJ Brooks,0.010945529
MRJ Watt,0.335876398
Babar Hayat,0.397204285
A Bhattarai,0.579679312
Najibullah Zadran,0.207023341
KV Sharma,0.470254941
L Ngidi,0.651194436
CR Brathwaite,0.472070352
RJW Topley,0.257792929
S Milenko,0.139179063
Sachin Baby,0.103532931
SB Harper,0.127673797
MW Short,0.350120915
N Deonarine,0.424434911
J Mulder,0.201318438
SN Thakur,0.378978967
SP Narine,0.639650034
DC Thomas,0.236887183
JJ Athanaze,0.387638329
Sharif Asadullah,0.030959752
SE Thomas,0.169087662
MM Sharma,0.515416797
GJ McCarter,0.3
HM Nicholls,0.003746843
VB van Jaarsveld,0.312347942
DT Tiripano,0.480898544
Kamran Shazad,0.214513098
UT Yadav,0.31775225
JD Vandiar,0.0045
SJ Benn,0.388760195
AB Fudadin,0.345673025
JL Jaggesar,0.120696485
RR Hendricks,0.282243376
MD Shanaka,0.247477295
KR Smith,0.002982541
KA Hope,0.446848512
Iqbal Abdulla,0.299118936
Taskin Ahmed,0.183307822
Nauman Anwar,0.232237527
KJ Coetzer,0.29886505
T van der Gugten,0.230475784
MH Wessels,0.089286298
N McAndrew,0
AC McDermott,0
Bismillah Khan,0.033478931
STR Binny,0.480655958
DP Nannes,0.207922675
EJG Morgan,0.372876466
MP O'Dowd,0.207802531
Qadeer Ahmed,0.12922373
ND Stewart,0.1936692
G Gambhir,0.370777143
JRMVB Sanjaya,0.142298637
Aamer Yamin,0.579014886
TJ Murtagh,0.227765837
Mohammad Asghar,0.42328795
DT Christian,0.463541185
PVD Chameera,0.164764248
Muhammad Usman,0.185922281
Mushfiqur Rahim,0.133546108
A Choudhary,0.120452608
JM Holland,0.246193345
GH Worker,0.810289824
V Shankar,0.25026738
Vishnu Vinod,0.239572193
GB Hogg,0.468770337
MA Starc,0.681692639
TL Chatara,0.254447874
ST de Silva,0.16482385
Y Venugopal Rao,0.428051529
P Negi,0.403682008
J Allenby,0.005858171
AJ Nair,0.000154163
Saeed Ajmal,0.382105395
N Rana,0.275836404
S Aravind,0.489791232
Awais Zia,0.008690176
Shuvagata Hom,0.385858026
VS Wategaonkar,0.003271028
P Sahu,0.156621529
PA Patel,0.216886759
SM Sharif,0.700977019
Mahmudullah,0.548546909
PJ Sangwan,0
NM Coulter-Nile,0.589529321
L Ronchi,0.250137355
MN Waller,0.369924653
AB Dinda,0.560341265
A Balbirnie,0.17615265
JDS Neesham,0.541186047
